Item,Condition,NP1,NP2,Coref,Verbclass,List,Experiment,Prompt,Vorher,Box,Nachher
35,1,f,m,NP1,AE,3,4B,"[Elena] zeigte Matthias an.",,Elena, zeigte Matthias an.
35,8,m,f,NP2,AP,3,4B,"Matthias &uuml;berredete [Elena].",Matthias &uuml;berredete ,Elena,.
36,5,f,m,NP2,AE,3,4B,"Vera schimpfte mit [Clemens].",Vera schimpfte mit ,Clemens,.
36,4,m,f,NP1,AP,3,4B,"[Clemens] beraubte Vera.",,Clemens, beraubte Vera.
37,6,m,f,NP2,AE,3,4B,"Fabian feierte [Nicole].",Fabian feierte ,Nicole,.
37,3,f,m,NP1,AP,3,4B,"[Nicole] trickste Fabian aus.",,Nicole, trickste Fabian aus.
38,2,m,f,NP1,AE,3,4B,"[Lutz] bedankte sich bei Ellen.",,Lutz, bedankte sich bei Ellen.
38,7,f,m,NP2,AP,3,4B,"Ellen grenzte [Lutz] aus.",Ellen grenzte ,Lutz, aus.
39,1,f,m,NP1,AE,3,4B,"[Mia] r&uuml;gte Ben.",,Mia, r&uuml;gte Ben.
39,8,m,f,NP2,AP,3,4B,"Ben sperrte [Mia] aus.",Ben sperrte ,Mia, aus.
40,5,f,m,NP2,AE,3,4B,"Annika berichtigte [Manuel].",Annika berichtigte ,Manuel,.
40,4,m,f,NP1,AP,3,4B,"[Manuel] schubste Annika weg.",,Manuel, schubste Annika weg.
21,5,f,m,NP2,AE,4,4B,"Julia lobte [Linus].",Julia lobte ,Linus,.
21,4,m,f,NP1,AP,4,4B,"[Linus] befreite Julia.",,Linus, befreite Julia.
22,6,m,f,NP2,AE,4,4B,"Benjamin belohnte [Sarah].",Benjamin belohnte ,Sarah,.
22,3,f,m,NP1,AP,4,4B,"[Sarah] bet&auml;ubte Benjamin.",,Sarah, bet&auml;ubte Benjamin.
23,2,m,f,NP1,AE,4,4B,"[Florian] dankte Bianca.",,Florian, dankte Bianca.
23,7,f,m,NP2,AP,4,4B,"Bianca ermordete [Florian].",Bianca ermordete ,Florian,.
24,1,f,m,NP1,AE,4,4B,"[Valerie] bestrafte Phillip.",,Valerie, bestrafte Phillip.
24,8,m,f,NP2,AP,4,4B,"Phillip heilte [Valerie].",Phillip heilte ,Valerie,.
25,5,f,m,NP2,AE,4,4B,"Isabella kritisierte [Sebastian].",Isabella kritisierte ,Sebastian,.
25,4,m,f,NP1,AP,4,4B,"[Sebastian] rettete Isabella.",,Sebastian, rettete Isabella.
26,6,m,f,NP2,AE,4,4B,"Marco ehrte [Lisa].",Marco ehrte ,Lisa,.
26,3,f,m,NP1,AP,4,4B,"[Lisa] t&ouml;tete Marco.",,Lisa, t&ouml;tete Marco.
27,2,m,f,NP1,AE,4,4B,"[Markus] revanchierte sich bei Nadine.",,Markus, revanchierte sich bei Nadine.
27,7,f,m,NP2,AP,4,4B,"Nadine &uuml;berlistete [Markus].",Nadine &uuml;berlistete ,Markus,.
28,1,f,m,NP1,AE,4,4B,"[Leonie] r&auml;chte sich an Peter.",,Leonie, r&auml;chte sich an Peter.
28,8,m,f,NP2,AP,4,4B,"Peter verf&uuml;hrte [Leonie].",Peter verf&uuml;hrte ,Leonie,.
29,5,f,m,NP2,AE,4,4B,"Margarethe gratulierte [Paul].",Margarethe gratulierte ,Paul,.
29,4,m,f,NP1,AP,4,4B,"[Paul] vergiftete Margarethe.",,Paul, vergiftete Margarethe.
30,6,m,f,NP2,AE,4,4B,"Nico zeichnete [Paula] aus.",Nico zeichnete ,Paula, aus.
30,3,f,m,NP1,AP,4,4B,"[Paula] verscheuchte Nico.",,Paula, verscheuchte Nico.
31,2,m,f,NP1,AE,4,4B,"[Stephan] zog Annalena zur Verantwortung.",,Stephan, zog Annalena zur Verantwortung.
31,7,f,m,NP2,AP,4,4B,"Annalena vertrieb [Stephan].",Annalena vertrieb ,Stephan,.
32,1,f,m,NP1,AE,4,4B,"[Sabrina] wies Martin zurecht.",,Sabrina, wies Martin zurecht.
32,8,m,f,NP2,AP,4,4B,"Martin verunglimpfte [Sabrina].",Martin verunglimpfte ,Sabrina,.
33,5,f,m,NP2,AE,4,4B,"Hannah verklagte [Jonas].",Hannah verklagte ,Jonas,.
33,4,m,f,NP1,AP,4,4B,"[Jonas] erschlug Hannah.",,Jonas, erschlug Hannah.
34,6,m,f,NP2,AE,4,4B,"Jonathan entlie&szlig; [Madeleine].",Jonathan entlie&szlig; ,Madeleine,.
34,3,f,m,NP1,AP,4,4B,"[Madeleine] verjagte Jonathan.",,Madeleine, verjagte Jonathan.
35,2,m,f,NP1,AE,4,4B,"[Matthias] zeigte Elena an.",,Matthias, zeigte Elena an.
35,7,f,m,NP2,AP,4,4B,"Elena &uuml;berredete [Matthias].",Elena &uuml;berredete ,Matthias,.
36,1,f,m,NP1,AE,4,4B,"[Vera] schimpfte mit Clemens.",,Vera, schimpfte mit Clemens.
36,8,m,f,NP2,AP,4,4B,"Clemens beraubte [Vera].",Clemens beraubte ,Vera,.
37,5,f,m,NP2,AE,4,4B,"Nicole feierte [Fabian].",Nicole feierte ,Fabian,.
37,4,m,f,NP1,AP,4,4B,"[Fabian] trickste Nicole aus.",,Fabian, trickste Nicole aus.
38,6,m,f,NP2,AE,4,4B,"Lutz bedankte sich bei [Ellen].",Lutz bedankte sich bei ,Ellen,.
38,3,f,m,NP1,AP,4,4B,"[Ellen] grenzte Lutz aus.",,Ellen, grenzte Lutz aus.
39,2,m,f,NP1,AE,4,4B,"[Ben] r&uuml;gte Mia.",,Ben, r&uuml;gte Mia.
39,7,f,m,NP2,AP,4,4B,"Mia sperrte [Ben] aus.",Mia sperrte ,Ben, aus.
40,1,f,m,NP1,AE,4,4B,"[Annika] berichtigte Manuel.",,Annika, berichtigte Manuel.
40,8,m,f,NP2,AP,4,4B,"Manuel schubste [Annika] weg.",Manuel schubste ,Annika, weg.
